Region,State
New_England,Maine
New_England,New_Hampshire
New_England,Vermont
New_England,Massachusetts
New_England,Rhode_Island
New_England,Connecticut
Mid_Atlantic,New_York
Mid_Atlantic,New_Jersey
Mid_Atlantic,Pennsylvania
East_North_Central,Ohio
East_North_Central,Indiana
East_North_Central,Illinois
East_North_Central,Michigan
East_North_Central,Wisconsin
West_North_Central,Minnesota
West_North_Central,Iowa
West_North_Central,Missouri
West_North_Central,North_Dakota
West_North_Central,South_Dakota
West_North_Central,Nebraska
West_North_Central,Kansas
South_Atlantic,Delaware
South_Atlantic,Maryland
South_Atlantic,District_of_Columbia
South_Atlantic,Virginia
South_Atlantic,West_Virginia
South_Atlantic,North_Carolina
South_Atlantic,South_Carolina
South_Atlantic,Georgia
South_Atlantic,Florida
East_South_Atlantic,Kentucky
East_South_Atlantic,Tennessee
East_South_Atlantic,Alabama
East_South_Atlantic,Mississippi
West_South_Central,Arkansas
West_South_Central,Louisiana
West_South_Central,Oklahoma
West_South_Central,Texas
Mountain,Montana
Mountain,Idaho
Mountain,Wyoming
Mountain,Colorado
Mountain,New_Mexico
Mountain,Arizona
Mountain,Utah
Mountain,Nevada
Pacific,Washington
Pacific,Oregon
Pacific,California
Pacific,Alaska
Pacific,Hawaii
